title,placeUrl,category,address,LGA
Ejigbo Bus-Stop,https://www.google.com/maps/place/Ejigbo+Bus-Stop/data=!4m7!3m6!1s0x103b8e33821fb27d:0xf3f44082d5e423b1!8m2!3d6.5518506!4d3.3011448!16s%2Fg%2F1tf923zs!19sChIJfbIfgjOOOxARsSPk1YJA9PM,Bus stop,"Fadu Ave, Oshodi-Isolo 102214, Lagos, Nigeria",Oshodi-Isolo
7/8 Bus Stop,https://www.google.com/maps/place/7%2F8+Bus+Stop/data=!4m7!3m6!1s0x103b8e0c2fa76679:0x3cfe5df68a5cc579!8m2!3d6.5508274!4d3.3318615!16s%2Fg%2F1tjj8ft0!19sChIJeWanLwyOOxARecVcivZd_jw,Bus stop,"Murtala Muhammed Airport Road, Mushin 102214, Lagos, Nigeria",Oshodi-Isolo
Pipeline Bus-Stop,https://www.google.com/maps/place/Pipeline+Bus-Stop/data=!4m7!3m6!1s0x103b8e4a7608d531:0x4d804426c52b59fe!8m2!3d6.5458816!4d3.3019548!16s%2Fg%2F1tf8jfkp!19sChIJMdUIdkqOOxAR_lkrxSZEgE0,Bus stop,"Fadu Ave, Oshodi-Isolo 102214, Lagos, Nigeria",Oshodi-Isolo
Iyana Itire Bus Stop,https://www.google.com/maps/place/Iyana+Itire+Bus+Stop/data=!4m7!3m6!1s0x103b8e84828f3edb:0xfb07b3f3ae64cc45!8m2!3d6.5160679!4d3.3339751!16s%2Fg%2F1tg97t5s!19sChIJ2z6PgoSOOxARRcxkrvOzB_s,Bus stop,"Mushin 102215, Lagos, Nigeria",Oshodi-Isolo
Iyana Isolo,https://www.google.com/maps/place/Iyana+Isolo/data=!4m7!3m6!1s0x103b8e791fcb0cbb:0x251e22c7d0da53b2!8m2!3d6.531479!4d3.336309!16s%2Fg%2F11b6b4zk13!19sChIJuwzLH3mOOxARslPa0MciHiU,Bus stop,"Isaga Tedo 102215, Ikeja, Lagos, Nigeria",Oshodi-Isolo
Charity Oshodi Lagos,https://www.google.com/maps/place/Charity+Oshodi+Lagos/data=!4m7!3m6!1s0x103b8de1f4d3d979:0x1f74617d1b5fe6a5!8m2!3d6.5510672!4d3.3401388!16s%2Fg%2F1th1x1tk!19sChIJednT9OGNOxARpeZfG31hdB8,Bus stop,"Orile Oshodi 102214, Lagos, Nigeria",Oshodi-Isolo
Nepa Junction Bus Stop,https://www.google.com/maps/place/Nepa+Junction+Bus+Stop/data=!4m7!3m6!1s0x103b8ef890b9ac6d:0xcdcab518bfdf7ed9!8m2!3d6.5241291!4d3.3052647!16s%2Fg%2F1jky09l5x!19sChIJbay5kPiOOxAR2X7fvxi1ys0,Bus stop,"Rd 2, Ejigbo 102214, Lagos, Nigeria",Oshodi-Isolo
Cele Bus-Stop,https://www.google.com/maps/place/Cele+Bus-Stop/data=!4m7!3m6!1s0x103b8fbb93386e73:0xb76663be94143536!8m2!3d6.5396036!4d3.2843757!16s%2Fg%2F1tf8hv0z!19sChIJc244k7uPOxARNjUUlL5jZrc,Bus stop,"Ikotun - Idimu Rd, Oshodi-Isolo 102213, Lagos, Nigeria",Oshodi-Isolo
Barracks,https://www.google.com/maps/place/Barracks/data=!4m7!3m6!1s0x103b8ef338edf39d:0x78866803ef9cee89!8m2!3d6.5181038!4d3.3178604!16s%2Fg%2F1tct5vsd!19sChIJnfPtOPOOOxARie6c7wNohng,Bus stop,"Oshodi-Isolo 102214, Lagos, Nigeria",Oshodi-Isolo
Ilasamaja Overpass,https://www.google.com/maps/place/Ilasamaja+Overpass/data=!4m7!3m6!1s0x103b8e80dd9c44fd:0xf6e0fa2fe4a78789!8m2!3d6.5224636!4d3.3350587!16s%2Fg%2F1tk5qgy8!19sChIJ_USc3YCOOxARiYen5C_64PY,Bus stop,"Ilasamaja Overpass, Mushin 102214, Lagos, Nigeria",Oshodi-Isolo
Iyana Isolo,https://www.google.com/maps/place/Iyana+Isolo/data=!4m7!3m6!1s0x103b8e791d195b5d:0xf06bfa3362d7485a!8m2!3d6.531886!4d3.336239!16s%2Fg%2F11g6wv3xcq!19sChIJXVsZHXmOOxARWkjXYjP6a_A,Bus stop,"Isolo 102214, Ikeja, Lagos, Nigeria",Oshodi-Isolo
AMBODE BRT BUS TERMINAL OSHODI,https://www.google.com/maps/place/AMBODE+BRT+BUS+TERMINAL+OSHODI/data=!4m7!3m6!1s0x103b8decec78dcd9:0xac871d8885c87610!8m2!3d6.5565368!4d3.3526345!16s%2Fg%2F11j3rykvxt!19sChIJ2dx47OyNOxAREHbIhYgdh6w,Transportation service,"H943+J36, Oshodi-Isolo 101233, Lagos, Nigeria",Oshodi-Isolo
Jakande Bus-Stop,https://www.google.com/maps/place/Jakande+Bus-Stop/data=!4m7!3m6!1s0x103b8e575633c0b7:0x1386ecc823ffdc3d!8m2!3d6.5296266!4d3.3085799!16s%2Fg%2F1tx1kgbf!19sChIJt8AzVleOOxARPdz_I8jshhM,Bus stop,"エグブ・ロード Oshodi-Isolo 102214, Lagos, Nigeria",Oshodi-Isolo
Ikeja Along Busstop,https://www.google.com/maps/place/Ikeja+Along+Busstop/data=!4m7!3m6!1s0x103b91896f1904b9:0xb3cc54c744b8e2ab!8m2!3d6.5946237!4d3.3357856!16s%2Fg%2F1tdj6j_b!19sChIJuQQZb4mROxARq-K4RMdUzLM,Bus stop,"Oshodi-Isolo 101233, Lagos, Nigeria",Oshodi-Isolo
Ogunoloko Bus Stop,https://www.google.com/maps/place/Ogunoloko+Bus+Stop/data=!4m7!3m6!1s0x103b8e075a47bad5:0xb0ff3fb7fe19a030!8m2!3d6.5611514!4d3.3384623!16s%2Fg%2F1ptx0kz0x!19sChIJ1bpHWgeOOxARMKAZ_rc__7A,Bus stop,"Mafoluku Oshodi 102214, Ikeja, Lagos, Nigeria",Oshodi-Isolo
Abijo,https://www.google.com/maps/place/Abijo/data=!4m7!3m6!1s0x103b8e33fe82bebb:0x5bd08b24139575cd!8m2!3d6.5518506!4d3.3034194!16s%2Fg%2F1tdv2q54!19sChIJu76C_jOOOxARzXWVEySL0Fs,Bus stop,"Oshodi-Isolo 102214, Lagos, Nigeria",Oshodi-Isolo
Oshodi Motor Park,https://www.google.com/maps/place/Oshodi+Motor+Park/data=!4m7!3m6!1s0x103b8defc582ea79:0xaf403ec8cfa480bd!8m2!3d6.556285!4d3.350766!16s%2Fg%2F1td3_m6z!19sChIJeeqCxe-NOxARvYCkz8g-QK8,Bus stop,"Mushin 102214, Lagos, Nigeria",Oshodi-Isolo
Stop Over,https://www.google.com/maps/place/Stop+Over/data=!4m7!3m6!1s0x103b8e1102c621df:0x1cb664b15abbd490!8m2!3d6.553935!4d3.325711!16s%2Fg%2F11fp8l0ffg!19sChIJ3yHGAhGOOxARkNS7WrFkthw,Bus station,"Orile Oshodi 102214, Ikeja, Lagos, Nigeria",Oshodi-Isolo
Ori-Oke Bus-Stop,https://www.google.com/maps/place/Ori-Oke+Bus-Stop/data=!4m7!3m6!1s0x103b8fb117804ea3:0x9a5169dc6ef88eab!8m2!3d6.539401!4d3.2917249!16s%2Fg%2F1td3nmp1!19sChIJo06AF7GPOxARq474btxpUZo,Bus stop,"エグブ・ロード Oshodi-Isolo 102214, Lagos, Nigeria",Oshodi-Isolo
Baale,https://www.google.com/maps/place/Baale/data=!4m7!3m6!1s0x103b91d69bd936f3:0x55bff37eb7c27d99!8m2!3d6.571161!4d3.304033!16s%2Fg%2F1tk201w8!19sChIJ8zbZm9aROxARmX3Ct37zv1U,Bus stop,"Ifelodun St, Oshodi-Isolo 102213, Lagos, Nigeria",Oshodi-Isolo
Ladipo Bus Stop,https://www.google.com/maps/place/Ladipo+Bus+Stop/data=!4m7!3m6!1s0x103b9206bdbf5355:0x5e56f0ada6af894e!8m2!3d6.571641!4d3.345096!16s%2Fg%2F1tdhw7np!19sChIJVVO_vQaSOxARTomvpq3wVl4,Bus stop,"Agege Motor Road, Shogunle Agege Motor Rd, Mushin 102214, Lagos, Nigeria",Oshodi-Isolo
Osundeyi,https://www.google.com/maps/place/Osundeyi/data=!4m7!3m6!1s0x103b8e03c23a6e1f:0x5df820628bdef9f1!8m2!3d6.563434!4d3.332963!16s%2Fg%2F11hf00vtr3!19sChIJH246wgOOOxAR8fnei2Ig-F0,Bus station,"Mafoluku Oshodi 102214, Ikeja, Lagos, Nigeria",Oshodi-Isolo
