title,placeUrl,category,address,LGA,Ikeja,Badagry,Oshodi,Ikorodu,Obalende
West End,https://www.google.com/maps/place/West+End/data=!4m7!3m6!1s0x103b8d9c142694c3:0xfdb5dc149f85527e!8m2!3d6.552056!4d3.375214!16s%2Fg%2F11b6b61203!19sChIJw5QmFJyNOxARflKFnxTctf0,Bus stop,"Obanikoro 102216, Ikeja, Lagos, Nigeria",Somolu,7827,68924,11545,22758,18543
Onipanu Bus Stop,https://www.google.com/maps/place/Onipanu+Bus+Stop/data=!4m7!3m6!1s0x103b8db07b5fc671:0xe373564e85822afa!8m2!3d6.5345272!4d3.366926!16s%2Fg%2F1hhw8wr9k!19sChIJccZfe7CNOxAR-iqChU5Wc-M,Bus stop,"Mushin 102215, Lagos, Nigeria",Somolu,12878,63876,5862,27808,24294
Iyana Oworo Bus Stop,https://www.google.com/maps/place/Iyana+Oworo+Bus+Stop/data=!4m7!3m6!1s0x103b8d68929b5751:0xee1f5978c592e35f!8m2!3d6.5550189!4d3.3962023!16s%2Fg%2F1hhxpp5jz!19sChIJUVebkmiNOxARX-OSxXhZH-4,Bus stop,"Williams St, Gbagada 105102, Lagos, Nigeria",Somolu,11166,71586,14206,23819,15954
Palmgrove Bus Stop,https://www.google.com/maps/place/Palmgrove+Bus+Stop/data=!4m7!3m6!1s0x103b8dbc8459dd9b:0x23555bb2b4eeb144!8m2!3d6.5410318!4d3.3671323!16s%2Fg%2F11g_hsnfp!19sChIJm91ZhLyNOxARRLHutLJbVSM,Bus stop,"88 Shipeolu St, Onipanu 102215, Ikeja, Lagos, Nigeria",Somolu,8333,69431,12051,23266,20214
Second Pedro Bus Stop,https://www.google.com/maps/place/Second+Pedro+Bus+Stop/data=!4m7!3m6!1s0x103b8d9e6f003d0b:0xeb61235a61e1e7f6!8m2!3d6.5501879!4d3.3774698!16s%2Fg%2F1232zvm9v!19sChIJCz0Ab56NOxAR9ufhYVojYes,Bus stop,"グバガーダ・エクスプレスウェイ Gbagada 105102, Lagos, Nigeria",Somolu,9838,70257,12878,23460,15471
Folagoro Bus Stop,https://www.google.com/maps/place/Folagoro+Bus+Stop/data=!4m7!3m6!1s0x103b8cffed048747:0x7f22d0e10dbcc905!8m2!3d6.5231777!4d3.3799723!16s%2Fg%2F11gz6r5g9!19sChIJR4cE7f-MOxARBcm8DeHQIn8,Bus stop,"Fola Agoro St, Lagos Mainland 101245, Lagos, Nigeria",Somolu,13144,65451,10603,28071,13363
BRT Bus Stop,https://www.google.com/maps/place/BRT+Bus+Stop/data=!4m7!3m6!1s0x103b8dbc8b1a773f:0x4ca94d3a8fd08b44!8m2!3d6.5416608!4d3.3667302!16s%2Fg%2F1tq7cj0r!19sChIJP3cai7yNOxARRIvQjzpNqUw,Bus stop,"Palmgrove Overpass, Mushin 102215, Lagos, Nigeria",Somolu,13256,66237,9606,28184,15929
Kolex,https://www.google.com/maps/place/Kolex/data=!4m7!3m6!1s0x103b8d005b0e5aaf:0x72e39a8092741018!8m2!3d6.5264981!4d3.3808869!16s%2Fg%2F11h0lbxzc!19sChIJr1oOWwCNOxARGBB0koCa43I,Bus stop,"Femi Adebule Street, Somolu 101245, Lagos, Nigeria",Somolu,12332,66095,11247,27259,14006
West End,https://www.google.com/maps/place/West+End/data=!4m7!3m6!1s0x103b8d9c3fbecd5b:0x43fb476868238660!8m2!3d6.5522397!4d3.3755547!16s%2Fg%2F1tt4lm0b!19sChIJW82-P5yNOxARYIYjaGhH-0M,Bus stop,"Gbagada Industrial Estate Road, Araromi 105102, Lagos, Nigeria",Somolu,4122,74352,16973,21619,24480
Gbagada,https://www.google.com/maps/place/Gbagada/data=!4m7!3m6!1s0x103b8d7268fde3bf:0x98c57707e1a53d8c!8m2!3d6.549119!4d3.388207!16s%2Fg%2F11b6b9rcl_!19sChIJv-P9aHKNOxARjD2l4Qd3xZg,Bus stop,"Araromi 105102, Ikeja, Lagos, Nigeria",Somolu,10520,70939,13559,25452,16513
St Finbarrs Bus stop,https://www.google.com/maps/place/St+Finbarrs+Bus+stop/data=!4m7!3m6!1s0x103b8cfdb682be0f:0xb7b35906b9f3ab7d!8m2!3d6.52201!4d3.3857!16s%2Fg%2F11pw50dzwt!19sChIJD76Ctv2MOxARfavzuQZZs7c,Bus stop,"Akoka 101245, Ikeja, Lagos, Nigeria",Somolu,14793,67101,12253,29721,14476
Jibowu Bus Stop,https://www.google.com/maps/place/Jibowu+Bus+Stop/data=!4m7!3m6!1s0x103b8c4dd963e4ef:0x210a4ab6767bbd25!8m2!3d6.5194683!4d3.3674491!16s%2Fg%2F1hhwbh_bt!19sChIJ7-Rj2U2MOxARJb17drZKCiE,Bus stop,"Murtala Muhammed Way, Jibowu 101245, Lagos, Nigeria",Somolu,13661,63972,10697,28588,13025
Chemist,https://www.google.com/maps/place/Chemist/data=!4m7!3m6!1s0x103b8d039e21cb2f:0x53fb9b46e417cd94!8m2!3d6.5285687!4d3.3867583!16s%2Fg%2F11h0cy4l1!19sChIJL8shngONOxARlM0X5Eab-1M,Bus stop,"St. Finbarr's College Road, Somolu 102216, Lagos, Nigeria",Somolu,11210,71629,14250,24204,15662
