title,placeUrl,category,address,LGA
Ikorodu bus park,https://www.google.com/maps/place/Ikorodu+bus+park/data=!4m7!3m6!1s0x103b8d7d4dac086b:0xa68ee4d0d246c97e!8m2!3d6.5558663!4d3.3515945!16s%2Fg%2F11rxwhvgtz!19sChIJawisTX2NOxARfslG0tDkjqY,Transportation service,"H942+8JX, Orile Oshodi 102214, Lagos, Nigeria",Ikorodu
Ijede,https://www.google.com/maps/place/Ijede/data=!4m7!3m6!1s0x103be54d8ee3e10f:0x17289f354a88b332!8m2!3d6.569043!4d3.59181!16s%2Fg%2F11j0j2x6yj!19sChIJD-Hjjk3lOxARMrOISjWfKBc,Bus station,"Ikorodu 104102, Ijede, Lagos, Nigeria",Ikorodu
Ebute Ipakodo Junction,https://www.google.com/maps/place/Ebute+Ipakodo+Junction/data=!4m7!3m6!1s0x103bedce0227bcb7:0x869f23b9f1090301!8m2!3d6.603218!4d3.490128!16s%2Fg%2F11ppctc014!19sChIJt7wnAs7tOxARAQMJ8bkjn4Y,Bus stop,"Ikorodu 104101, Ikorodu, Lagos, Nigeria",Ikorodu
Imota Bus Stop,https://www.google.com/maps/place/Bus+Stop/data=!4m7!3m6!1s0x103be149712a6d85:0x119cb9b5051fc6d4!8m2!3d6.668609!4d3.668189!16s%2Fg%2F1td3b7my!19sChIJhW0qcUnhOxAR1MYfBbW5nBE,Bus stop,"104101, Imota, Lagos, Nigeria",Ikorodu
Hunjo St,https://www.google.com/maps/place/Hunjo+St/data=!4m7!3m6!1s0x103beb75d69aaaab:0x46c2730cad792f63!8m2!3d6.6680086!4d3.4577629!16s%2Fg%2F11cjhkjjcg!19sChIJq6qa1nXrOxARYy95rQxzwkY,Bus stop,"Isawo Oja, Ikorodu 104101, ISAWO, Lagos, Nigeria",Ikorodu
Cele Bus Stop Ijede,https://www.google.com/maps/place/Cele+Bus+Stop+Ijede/data=!4m7!3m6!1s0x103bef190e4e1509:0xb44a92c264972855!8m2!3d6.62629!4d3.54786!16s%2Fg%2F11rp69d5dt!19sChIJCRVODhnvOxARVSiXZMKSSrQ,Bus stop,"Ikorodu 104101, Ikorodu, Lagos, Nigeria",Ikorodu
Ilepo,https://www.google.com/maps/place/Ilepo/data=!4m7!3m6!1s0x103bed2081252aa1:0xbac9eeef64a752b!8m2!3d6.608976!4d3.437018!16s%2Fg%2F11n38_ys_8!19sChIJoSolgSDtOxARK3VK9u6erAs,Bus stop,"105102, Lagos, Nigeria",Ikorodu
Isiu,https://www.google.com/maps/place/Isiu/data=!4m7!3m6!1s0x103be68829cb55bb:0xd6348e6e1b0a5dfb!8m2!3d6.663462!4d3.62184!16s%2Fg%2F11j0j2wjlv!19sChIJu1XLKYjmOxAR-10KG26ONNY,Bus station,"104101, Isiwu, Lagos, Nigeria",Ikorodu
Beulah Land,https://www.google.com/maps/place/Beulah+Land/data=!4m7!3m6!1s0x103bed26fe228df3:0x1de031a1fad7b7c6!8m2!3d6.6071111!4d3.4894357!16s%2Fg%2F11jhwcnr_c!19sChIJ840i_ibtOxARxrfX-qEx4B0,Parking garage,"2B Ikot Ekan Street Lagos, Ebute Ipakodo Rd, Ikorodu, Nigeria",Ikorodu
Association Avenue,"https://www.google.com/maps/place/Association+Avenue/@6.5445272,3.5323577,17z/data=!3m1!4b1!4m6!3m5!1s0x103bf1a3cb90efa5:0x6ed8c9f8de286db!8m2!3d6.5445272!4d3.5323577!16s%2Fg%2F11qqfccyxq",Apartment building,"GGVJ+RW9, Macaulay Bus stop, Baiyeku Road, Ikorodu, Nigeria",Ikorodu
