title,placeUrl,category,address,LGA,Ikeja,Badagry,Oshodi,Ikorodu,Obalende
Road 12,https://www.google.com/maps/place/Road+12/data=!4m7!3m6!1s0x103bf4f886806feb:0xb95797bd94f5c6ad!8m2!3d6.446341!4d3.459462!16s%2Fg%2F11ppczgd0x!19sChIJ62-Ahvj0OxARrcb1lL2XV7k,Bus stop,"Lekki Phase I 106104, Lekki, Lagos, Nigeria",Ibeju Lekki,32480,75172,35520,44460,11007
Cele Bus Stop Ijede,https://www.google.com/maps/place/Cele+Bus+Stop+Ijede/data=!4m7!3m6!1s0x103bef190e4e1509:0xb44a92c264972855!8m2!3d6.62629!4d3.54786!16s%2Fg%2F11rp69d5dt!19sChIJCRVODhnvOxARVSiXZMKSSrQ,Bus stop,"Ikorodu 104101, Ikorodu, Lagos, Nigeria",Ibeju Lekki,30949,94283,36904,6927,43822
Road C,"https://www.google.com/maps/place/Road+C/@6.580037,3.525656,17z/data=!3m1!4b1!4m6!3m5!1s0x103bee3b881a8eb1:0xa5c5ce7a712075ec!8m2!3d6.580037!4d3.525656!16s%2Fg%2F11pw4_wpmv",Bus stop,"Ikorodu 104102, Ikorodu, Lagos, Nigeria",Ibeju Lekki,32595,95929,38550,10246,45467
2nd Tollgate,https://www.google.com/maps/place/2nd+Tollgate/data=!4m7!3m6!1s0x103bf6fdedba80e3:0xd2ba30df169297b!8m2!3d6.444569!4d3.540041!16s%2Fg%2F11b6bcky5b!19sChIJ44C67f32OxAReylp8Q2jKw0,Bus stop,"Lekki Penninsula II 106104, Lekki, Lagos, Nigeria",Ibeju Lekki,38300,80437,41340,50280,16272
Api Dyke Nigeria Limited,https://www.google.com/maps/place/Api+Dyke+Nigeria+Limited/data=!4m7!3m6!1s0x1039559f38835889:0x23da467b7af1d617!8m2!3d6.4746323!4d3.8005178!16s%2Fg%2F11jkpf5ddt!19sChIJiViDOJ9VORARF9bxentG2iM,Parking garage,"Bfore Ibeju Lekki Local Government Secretariat, By Onosa Bus Stop Lagos Jakande, Nigeria",Ibeju Lekki,145496,124230,85133,86348,60065
Park view Bus stop,https://www.google.com/maps/place/Park+view+Bus+stop/data=!4m7!3m6!1s0x103bf4e98984cc97:0x23456cee89e07167!8m2!3d6.454628!4d3.441355!16s%2Fg%2F11kj2crcql!19sChIJl8yEien0OxARZ3Hgie5sRSM,Bus stop,"Ikoyi 106104, Lagos, Nigeria",Ibeju Lekki,26772,69621,29812,38752,4080
Bus Stop,"https://www.google.com/maps/place/Bus+Stop/@6.6743921,4.0052393,17z/data=!3m1!4b1!4m6!3m5!1s0x1039416c788624a9:0xc3b30cf884b8fa3f!8m2!3d6.6743921!4d4.0052393!16s%2Fg%2F1t_fqg8h",Bus stop,"106103, Ibonwon, Lagos, Nigeria",Ibeju Lekki,108503,179684,122304,89933,128894
FRCN Bus stop,https://www.google.com/maps/place/FRCN+Bus+stop/data=!4m7!3m6!1s0x103bede64b9be64b:0x4342bc1725e34b65!8m2!3d6.584695!4d3.491761!16s%2Fg%2F11snt14cp0!19sChIJS-abS-btOxARZUvjJRe8QkM,Bus stop,"Ikorodu 104101, Ikorodu, Lagos, Nigeria",Ibeju Lekki,30949,94283,36904,6927,43822
Lekki Phase 1,https://www.google.com/maps/place/Lekki+Phase+1/data=!4m7!3m6!1s0x103bf5016e0ed165:0xb8d20b3a3ccc792c!8m2!3d6.4350712!4d3.455969!16s%2Fg%2F11b6bck8l8!19sChIJZdEObgH1OxARLHnMPDoL0rg,Bus stop,"Maroko 106104, Lagos, Nigeria",Ibeju Lekki,33739,74395,36779,45719,10230
Ilaje,https://www.google.com/maps/place/Ilaje/data=!4m7!3m6!1s0x103bf74759abbe67:0xd88a5cca83c97862!8m2!3d6.465403!4d3.561198!16s%2Fg%2F11b6b8z_xl!19sChIJZ76rWUf3OxARYnjJg8pcitg,Bus stop,"Aja 106104, Lekki, Lagos, Nigeria",Ibeju Lekki,48177,90314,51217,60157,26149
Dele Adedeji,https://www.google.com/maps/place/Dele+Adedeji/data=!4m7!3m6!1s0x103bf5ad1424e617:0xc8a0cf030b948552!8m2!3d6.437077!4d3.468488!16s%2Fg%2F11r6y3x_fp!19sChIJF-YkFK31OxARUoWUCwPPoMg,Bus stop,"Lekki Phase I 106104, Lekki, Lagos, Nigeria",Ibeju Lekki,32480,75172,35520,44460,11007
